task_dir,path,model,finish_reason,elapsed_seconds,prompt_tokens,completion_tokens,total_tokens,reasoning_tokens,cost
016_Arithmetic_Other_fixed_point_adder,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,4.577096223831177,503,451,954,0,0.000445527
017_Arithmetic_Other_fixed_point_substractor,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,4.131131649017334,440,396,836,0,0.000370272
018_Arithmetic_Other_float_multi,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,15.397218227386475,532,1981,2513,0,0.001734026
019_Arithmetic_Substractor_sub_64bit,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,4.070947885513306,344,330,674,0,0.000326308
020_Control_Counter_JC_counter,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,1.7631399631500244,370,134,504,0,0.000167098
021_Control_Counter_counter_12,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,1.883650302886963,368,130,498,0,0.000162748
022_Control_Counter_ring_counter,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,1.9677987098693848,375,124,499,0,0.000160573
023_Control_Counter_up_down_counter,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,2.4811806678771973,330,104,434,0,0.000123598
024_Control_Finite_State_Machine_fsm,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,5.008039236068726,360,573,933,0,0.000544678
025_Control_Finite_State_Machine_sequence_detector,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,3.792231798171997,393,448,841,0,0.000395067
026_Memory_FIFO_asyn_fifo,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,36.683083295822144,1321,1458,2779,0,0.006813096
027_Memory_LIFO_LIFObuffer,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,4.367161273956299,484,449,933,0,0.000435522
028_Memory_Shifter_LFSR,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,2.250586748123169,309,131,440,0,0.000137953
029_Memory_Shifter_barrel_shifter,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,33.15952920913696,463,1223,1686,0,0.004677672
030_Memory_Shifter_right_shifter,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,1.7620577812194824,299,99,398,0,0.000105763
031_Miscellaneous_Frequency_divider_freq_div,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,3.5531747341156006,497,400,897,0,0.000398547
032_Miscellaneous_Frequency_divider_freq_divbyeven,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,2.871626138687134,362,171,533,0,0.000195808
033_Miscellaneous_Frequency_divider_freq_divbyfrac,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,5.996003866195679,352,647,999,0,0.000605578
034_Miscellaneous_Frequency_divider_freq_divbyodd,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,4.025294303894043,330,391,721,0,0.000373288
035_Miscellaneous_Others_calendar,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,3.6328227519989014,581,398,979,0,0.000378131
036_Miscellaneous_Others_edge_detect,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,2.8845016956329346,366,204,570,0,0.000226258
037_Miscellaneous_Others_parallel2serial,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,3.0806896686553955,422,227,649,0,0.000215412
038_Miscellaneous_Others_pulse_detect,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,3.647397041320801,427,374,801,0,0.000345477
039_Miscellaneous_Others_serial2parallel,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,13.480300426483154,393,280,673,0,0.000248907
040_Miscellaneous_Others_synchronizer,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,3.485328435897827,921,380,1301,0,0.000344723
041_Miscellaneous_Others_traffic_light,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,7.255284309387207,860,904,1764,0,0.000829284
042_Miscellaneous_Others_width_8to16,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,3.0633554458618164,493,254,747,0,0.000269787
043_Miscellaneous_RISC-V_RAM,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,4.461849212646484,604,323,927,0,0.00201
044_Miscellaneous_RISC-V_ROM,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,21.25898313522339,331,3204,3535,0,0.002821033
045_Miscellaneous_RISC-V_alu,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,10.83465576171875,832,1411,2243,0,0.001258194
046_Miscellaneous_RISC-V_clkgenerator,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,1.4811570644378662,203,70,273,0,9.3989e-05
047_Miscellaneous_RISC-V_instr_reg,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,2.996476411819458,411,247,658,0,0.000228027
048_Miscellaneous_RISC-V_pe,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,1.6906960010528564,453,111,564,0,0.000127977
049_Miscellaneous_Signal_generation_signal_generator,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,3.157060384750366,441,249,690,0,0.000242817
050_Miscellaneous_Signal_generation_square_wave,direct_mygo_inline,deepseek/deepseek-v4-pro,stop,1.747082233428955,363,105,468,0,0.000138823
